id	0_seqid	1_start	2_end	3_strand	4_length	5_type	6_Note	Mutant1_M2-count	Mutant1_M2-rpkm	Mutant1_M3-count	Mutant1_M3-rpkm	Mutant1_M4-count	Mutant1_M4-rpkm	Mutant2_M1-count	Mutant2_M1-rpkm	Mutant2_M2-count	Mutant2_M2-rpkm	Mutant2_M3-count	Mutant2_M3-rpkm	Mutant2_M4-count	Mutant2_M4-rpkm	Mutant3_M3-count	Mutant3_M3-rpkm	Mutant3_M4-count	Mutant3_M4-rpkm	Mutant3_M1-count	Mutant3_M1-rpkm	Mutant3_M2-count	Mutant3_M2-rpkm	WT_M1-count	WT_M1-rpkm	WT_M2-count	WT_M2-rpkm	WT_M3-count	WT_M3-rpkm	WT_M4-count	WT_M4-rpkm
gene40	Contig_1.52	92346	93964	+	1619	gene		831	53.50	1135	52.30	1324	50.01	470	17.50	499	21.22	421	16.31	427	16.97	189	10.27	205	9.88	824	24.50	401	16.33	2162	66.68	1981	69.90	777	35.02	1355	73.99
gene41	Contig_1.52	94687	96383	-	1697	gene		839	51.53	1429	62.82	1020	36.75	515	18.30	477	19.35	627	23.17	610	23.12	922	47.79	818	37.61	910	25.81	642	24.95	703	20.68	583	19.63	421	18.10	502	26.15
gene42	Contig_1.52	98261	100751	-	2491	gene		7	0.29	15	0.45	13	0.32	34	0.82	32	0.88	30	0.76	28	0.72	8	0.28	9	0.28	45	0.87	14	0.37	14	0.28	7	0.16	11	0.32	6	0.21
gene43	Contig_1.52	101261	102192	-	932	gene		75	8.39	85	6.80	116	7.61	132	8.54	127	9.38	126	8.48	155	10.70	61	5.76	65	5.44	178	9.19	121	8.56	104	5.57	88	5.39	73	5.72	97	9.20
gene44	Contig_1.52	103415	105279	-	1865	gene		207	11.57	278	11.12	219	7.18	335	10.83	212	7.83	329	11.06	295	10.18	183	8.63	180	7.53	830	21.42	287	10.15	408	10.92	272	8.33	314	12.28	282	13.37
gene45	Contig_1.52	105804	106332	+	529	gene		224	44.14	294	41.46	260	30.05	298	33.97	336	43.73	332	39.35	304	36.97	119	19.79	129	19.03	393	35.76	256	31.91	439	41.44	304	32.83	241	33.24	286	47.79
gene46	Contig_1.52	106691	109219	-	2529	gene		371	15.29	631	18.61	821	19.85	865	20.62	863	23.50	895	22.19	803	20.43	511	17.77	642	19.81	741	14.10	767	20.00	994	19.63	863	19.50	735	21.21	626	21.88
gene47	Contig_1.52	110282	111704	+	1423	gene		396	29.01	523	27.42	955	41.04	957	40.55	843	40.79	984	43.36	935	42.27	510	31.53	571	31.31	928	31.39	688	31.89	1374	48.21	1062	42.64	974	49.94	681	42.31
gene48	Contig_1.2	1400768	1401940	-	1173	gene		3	0.27	7	0.45	4	0.21	13	0.67	11	0.65	11	0.59	9	0.49	3	0.22	5	0.33	39	1.60	46	2.59	4	0.17	6	0.29	28	1.74	1	0.08
gene49	Contig_1.52	112481	114123	-	1643	gene		195	12.37	250	11.35	310	11.54	593	21.76	676	28.33	576	21.98	560	21.93	170	9.10	192	9.12	490	14.36	432	17.34	513	15.59	631	21.94	431	19.14	344	18.51
gene50	Contig_1.52	118759	119871	+	1113	gene		1810	169.51	3178	213.01	7228	397.10	1860	100.76	1471	91.00	1971	111.05	1769	102.24	1546	122.19	2147	150.51	2742	118.59	2190	129.77	6127	274.87	2676	137.36	3412	223.68	2092	166.16
gene51	Contig_1.52	125859	126758	-	900	gene		128	14.82	218	18.07	277	18.82	3567	238.97	3486	266.69	4286	298.62	4399	314.42	3014	294.59	3080	267.01	4384	234.47	6093	446.48	287	15.92	292	18.54	514	41.67	215	21.12
gene52	Contig_1.52	128013	128616	-	604	gene		2948	508.74	4176	515.77	4824	488.36	10595	1057.65	14091	1606.28	9053	939.87	9142	973.65	3313	482.50	4098	529.36	8886	708.16	6243	681.66	5243	433.43	5484	518.71	5233	632.17	3783	553.67
gene53	Contig_1.52	130835	131431	-	597	gene		58	10.13	78	9.75	107	10.96	234	23.63	253	29.18	170	17.86	191	20.58	85	12.52	90	11.76	137	11.05	104	11.49	171	14.30	201	19.23	163	19.92	92	13.62
gene54	Contig_1.52	133409	135148	-	1740	gene		273	16.35	482	20.66	351	12.33	902	31.26	752	29.76	949	34.20	731	27.02	461	23.31	705	31.61	986	27.28	986	37.37	499	14.32	310	10.18	533	22.35	330	16.77
gene55	Contig_1.52	136231	138903	+	2673	gene		1274	49.68	2942	82.11	5041	115.32	7787	175.65	8428	217.09	7666	179.84	7503	180.56	4720	155.33	6231	181.88	7807	140.59	8589	211.91	4352	81.30	2627	56.15	4836	132.01	1359	44.94
gene56	Contig_1.53	6545	11152	-	4608	gene		2	0.05	1	0.02	1	0.01	0	0.00	0	0.00	1	0.01	1	0.01	1	0.02	0	0.00	5	0.05	1	0.01	4	0.04	0	0.00	0	0.00	4	0.08
gene57	Contig_1.53	16731	17127	-	397	gene		56	14.70	106	19.92	81	12.48	385	58.47	949	164.59	476	75.18	364	58.98	374	82.87	385	75.66	705	85.48	1235	205.16	85	10.69	67	9.64	121	22.24	34	7.57
gene58	Contig_1.53	19470	19962	+	493	gene		15	3.17	30	4.54	24	2.98	983	120.22	1113	155.44	1083	137.75	998	130.22	1343	239.63	1442	228.21	1757	171.55	2711	362.65	14	1.42	12	1.39	362	53.58	9	1.61
gene59	Contig_1.2	1403646	1405383	+	1738	gene		12	0.72	11	0.47	11	0.39	18	0.62	13	0.52	25	0.90	34	1.26	47	2.38	10	0.45	72	1.99	61	2.31	22	0.63	15	0.49	176	7.39	6	0.31
gene60	Contig_1.53	21809	22147	+	339	gene		67	20.60	109	23.99	40	7.21	81	14.41	57	11.58	94	17.39	75	14.23	40	10.38	68	15.65	153	21.72	113	21.98	79	11.64	63	10.62	80	17.22	58	15.12
gene61	Contig_1.53	23495	24127	-	633	gene		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.10	0	0.00	0	0.00	1	0.08	0	0.00	0	0.00	0	0.00	1	0.12	0	0.00
gene62	Contig_1.53	25758	28040	-	2283	gene		155	7.08	197	6.44	223	5.97	323	8.53	277	8.35	307	8.43	287	8.09	84	3.24	90	3.08	313	6.60	235	6.79	356	7.79	340	8.51	295	9.43	196	7.59
gene63	Contig_1.53	29266	32052	+	2787	gene		42	1.57	46	1.23	61	1.34	71	1.54	38	0.94	51	1.15	61	1.41	13	0.41	18	0.50	71	1.23	39	0.92	124	2.22	97	1.99	76	1.99	50	1.59
gene64	Contig_1.53	32785	34937	+	2153	gene		180	8.71	255	8.84	320	9.09	367	10.28	205	6.56	359	10.46	357	10.67	240	9.81	264	9.57	533	11.92	291	8.91	509	11.80	266	7.06	272	9.22	237	9.73
gene65	Contig_1.53	39150	41617	-	2468	gene		274	11.57	385	11.64	592	14.67	1083	26.46	715	19.95	943	23.96	909	23.69	356	12.69	406	12.84	1271	24.79	757	20.23	1271	25.71	941	21.78	695	20.55	433	15.51
gene66	Contig_1.53	43046	44028	+	983	gene		115	12.19	120	9.11	191	11.88	171	10.49	100	7.00	168	10.72	139	9.10	61	5.46	70	5.56	184	9.01	94	6.31	335	17.02	189	10.98	120	8.91	131	11.78
gene67	Contig_1.53	44717	46199	-	1483	gene		3979	279.66	6119	307.80	5630	232.13	14191	576.97	15044	698.46	14710	621.99	12661	549.19	10142	601.58	11155	586.88	15438	501.09	16864	749.94	10702	360.33	10082	388.39	12090	594.85	6396	381.26
gene68	Contig_1.53	53987	54813	-	827	gene		673	84.82	788	71.08	694	51.31	1767	128.83	1787	148.78	1510	114.49	1497	116.44	534	56.80	559	52.74	1313	76.42	1032	82.30	1342	81.03	1406	97.13	977	86.20	956	102.19
gene69	Contig_1.53	55073	55840	+	768	gene		182	24.70	239	23.22	226	17.99	475	37.29	470	42.14	496	40.50	385	32.25	186	21.30	204	20.72	420	26.32	363	31.17	325	21.13	326	24.25	310	29.45	270	31.08
gene70	Contig_1.2	1405893	1407001	+	1109	gene		321	30.17	440	29.60	512	28.23	785	42.68	942	58.48	823	46.54	710	41.18	439	34.82	423	29.76	1061	46.05	868	51.62	767	34.53	606	31.22	534	35.13	426	33.96
gene71	Contig_1.53	58140	59708	-	1569	gene		354	23.52	462	21.97	553	21.55	353	13.57	289	12.68	311	12.43	348	14.27	135	7.57	141	7.01	532	16.32	227	9.54	758	24.12	809	29.46	583	27.11	518	29.18
gene72	Contig_1.53	60502	61680	-	1179	gene		231	20.42	336	21.26	563	29.20	86	4.40	101	5.90	50	2.66	71	3.87	61	4.55	48	3.18	49	2.00	121	6.77	677	28.67	839	40.65	390	24.14	513	38.46
gene73	Contig_1.53	67523	69274	+	1752	gene		0	0.00	1	0.04	2	0.07	4	0.14	3	0.12	5	0.18	4	0.15	2	0.10	2	0.09	5	0.14	10	0.38	5	0.14	0	0.00	1	0.04	1	0.05
gene74	Contig_1.53	70288	72544	-	2257	gene		2179	100.63	4024	133.00	3965	107.42	67	1.79	61	1.86	59	1.64	59	1.68	26	1.01	34	1.18	96	2.05	28	0.82	3335	73.78	2753	69.68	1044	33.75	1927	75.47
gene75	Contig_1.53	74598	80845	-	6248	gene		585	9.76	975	11.64	1098	10.75	1523	14.70	1263	13.92	1298	13.03	1392	14.33	689	9.70	683	8.53	1519	11.70	1282	13.53	1910	15.26	1459	13.34	1563	18.25	884	12.51
gene76	Contig_1.53	81525	82794	+	1270	gene		38	3.12	46	2.70	68	3.27	80	3.80	92	4.99	70	3.46	78	3.95	37	2.56	42	2.58	135	5.12	90	4.67	108	4.25	94	4.23	72	4.14	57	3.97
gene77	Contig_1.53	85307	86026	+	720	gene		4	0.58	4	0.41	14	1.19	20	1.67	19	1.82	26	2.26	18	1.61	7	0.86	6	0.65	16	1.07	8	0.73	19	1.32	12	0.95	12	1.22	3	0.37
gene78	Contig_1.53	90116	91265	-	1150	gene		1668	151.18	2017	130.84	2414	128.35	3327	174.43	3732	223.44	2980	162.49	3096	173.18	1691	129.35	1691	114.73	3417	143.02	2939	168.54	3749	162.78	3311	164.48	3316	210.40	2395	184.10
gene79	Contig_1.53	93170	93719	-	550	gene		1421	269.30	1777	241.02	4078	453.37	909	99.65	504	63.09	904	103.07	774	90.53	720	115.15	961	136.33	877	76.75	443	53.12	2481	225.24	2367	245.87	1177	156.15	1283	206.21
gene80	Contig_1.53	95372	96673	-	1302	gene		92	7.37	139	7.96	127	5.96	139	6.44	122	6.45	111	5.35	123	6.08	115	7.77	129	7.73	191	7.06	123	6.23	205	7.86	130	5.70	82	4.60	88	5.97
gene81	Contig_1.2	1411423	1413432	+	2010	gene		93	4.82	109	4.05	116	3.53	426	12.78	249	8.53	386	12.04	339	10.85	128	5.60	124	4.81	397	9.51	181	5.94	218	5.42	205	5.83	221	8.02	124	5.45
gene82	Contig_1.53	97682	102320	+	4639	gene		73	1.64	108	1.74	161	2.12	363	4.72	251	3.73	304	4.11	315	4.37	158	3.00	163	2.74	354	3.67	183	2.60	367	3.95	310	3.82	260	4.09	145	2.76
gene83	Contig_1.53	102834	104625	-	1792	gene		51	2.97	82	3.41	129	4.40	248	8.34	231	8.88	234	8.19	210	7.54	96	4.71	82	3.57	252	6.77	217	7.99	237	6.60	224	7.14	193	7.86	136	6.71
gene84	Contig_1.53	106998	109730	+	2733	gene		6	0.23	5	0.14	8	0.18	19	0.42	23	0.58	26	0.60	16	0.38	5	0.16	16	0.46	19	0.33	15	0.36	12	0.22	11	0.23	13	0.35	5	0.16
gene85	Contig_1.53	110982	111674	-	693	gene		2	0.30	3	0.32	11	0.97	6	0.52	11	1.09	11	1.00	13	1.21	9	1.14	18	2.03	9	0.63	8	0.76	6	0.43	5	0.41	3	0.32	4	0.51
gene86	Contig_1.53	113922	114473	+	552	gene		214	40.41	233	31.49	619	68.57	246	26.87	308	38.42	270	30.67	425	49.53	246	39.20	382	53.99	288	25.11	436	52.09	187	16.92	121	12.52	138	18.24	100	16.01
gene87	Contig_1.53	115482	117057	+	1576	gene		132	8.73	233	11.03	383	14.86	294	11.25	211	9.22	267	10.62	370	15.10	230	12.84	292	14.46	304	9.28	227	9.50	232	7.35	152	5.51	122	5.65	138	7.74
gene88	Contig_1.53	118593	118955	+	363	gene		28	8.04	30	6.17	99	16.68	91	15.12	58	11.00	59	10.19	122	21.62	92	22.29	102	21.92	142	18.83	71	12.90	13	1.79	15	2.36	7	1.41	8	1.95
gene89	Contig_1.53	119765	120402	+	638	gene		2066	337.53	1921	224.62	5867	562.30	5056	477.82	5999	647.40	5312	522.09	6314	636.62	5330	734.88	7615	931.25	3850	290.47	5500	568.53	1099	86.01	1339	119.90	930	106.36	544	75.38
gene90	Contig_1.53	129184	129937	+	754	gene		358	49.49	515	50.95	811	65.77	703	56.22	697	63.65	650	54.06	667	56.91	446	52.03	493	51.01	729	46.54	753	65.86	826	54.70	775	58.72	588	56.90	431	50.53
gene91	Contig_1.53	130728	131573	-	846	gene		221	27.23	273	24.07	504	36.43	1028	73.27	636	51.76	1087	80.57	859	65.32	561	58.33	619	57.09	848	48.25	425	33.13	434	25.62	460	31.06	366	31.57	192	20.06
gene92	Contig_1.2	1417961	1418638	+	678	gene		4	0.61	14	1.54	12	1.08	326	28.99	280	28.43	354	32.74	370	35.11	891	115.60	775	89.18	499	35.43	931	90.56	42	3.09	15	1.26	66	7.10	16	2.09
gene93	Contig_1.53	135389	137172	+	1784	gene		329	19.22	490	20.49	691	23.68	1543	52.15	969	37.40	1588	55.82	1312	47.31	841	41.47	1006	44.00	1209	32.62	1268	46.87	925	25.89	742	23.76	505	20.65	346	17.14
gene94	Contig_1.53	139512	140372	+	861	gene		469	56.78	602	52.16	908	64.48	1079	75.56	567	45.34	995	72.47	929	69.41	329	33.61	388	35.16	822	45.95	561	42.97	1602	92.90	1373	91.10	1012	85.76	777	79.78
gene95	Contig_1.53	145519	147217	-	1699	gene		96	5.89	109	4.79	84	3.02	8	0.28	6	0.24	16	0.59	7	0.27	13	0.67	7	0.32	17	0.48	10	0.39	155	4.56	152	5.11	162	6.96	127	6.61
gene96	Contig_1.53	148349	150332	+	1984	gene		631	33.15	822	30.91	959	29.56	57	1.73	79	2.74	65	2.05	53	1.72	7	0.31	24	0.94	30	0.73	20	0.66	1293	32.54	1625	46.79	673	24.75	873	38.90
gene97	Contig_1.53	151778	151999	+	222	gene		0	0.00	0	0.00	0	0.00	0	0.00	1	0.31	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
gene98	Contig_1.53	154873	155630	-	758	gene		1	0.14	1	0.10	1	0.08	1516	120.59	1483	134.71	1542	127.56	1510	128.15	961	111.52	959	98.71	1728	109.73	3177	276.41	6	0.40	5	0.38	139	13.38	7	0.82
gene99	Contig_1.54	4580	5029	-	450	gene		4794	1110.43	4836	801.70	3671	498.82	78	10.45	65	9.95	64	8.92	63	9.01	25	4.89	22	3.81	98	10.48	54	7.91	21063	2337.14	18084	2295.86	27212	4412.34	14467	2841.96
gene100	Contig_1.54	8639	10452	+	1814	gene		489	28.10	437	17.97	336	11.33	10	0.33	6	0.23	20	0.69	11	0.39	14	0.68	4	0.17	15	0.40	14	0.51	4212	115.94	3013	94.89	7803	313.87	2043	99.56
gene101	Contig_1.54	13860	15530	-	1671	gene		13	0.81	19	0.85	9	0.33	50	1.80	78	3.21	47	1.76	46	1.77	10	0.53	8	0.37	26	0.75	18	0.71	21	0.63	32	1.09	85	3.71	18	0.95
gene102	Contig_1.54	18877	19887	-	1011	gene		38	3.92	71	5.24	79	4.78	104	6.20	74	5.04	122	7.57	83	5.28	30	2.61	36	2.78	180	8.57	56	3.65	109	5.38	98	5.54	89	6.42	81	7.08
gene103	Contig_1.2	1422889	1423896	-	1008	gene		181	18.72	219	16.21	176	10.68	66	3.95	41	2.80	48	2.99	45	2.87	24	2.09	22	1.70	49	2.34	26	1.70	282	13.97	286	16.21	116	8.40	218	19.12
gene104	Contig_1.54	27823	29334	+	1512	gene		728	50.19	732	36.12	478	19.33	89	3.55	97	4.42	136	5.64	89	3.79	11	0.64	9	0.46	49	1.56	30	1.31	1008	33.29	1117	42.21	1648	79.53	1047	61.21
gene105	Contig_1.54	30580	31569	-	990	gene		43	4.53	33	2.49	16	0.99	16	0.97	5	0.35	16	1.01	6	0.39	2	0.18	4	0.32	13	0.63	3	0.20	37	1.87	30	1.73	52	3.83	48	4.29
gene106	Contig_1.54	32913	33877	+	965	gene		78	8.43	79	6.11	42	2.66	8	0.50	9	0.64	9	0.58	8	0.53	0	0.00	0	0.00	12	0.60	14	0.96	51	2.64	71	4.20	93	7.03	75	6.87
gene107	Contig_1.54	35307	36968	-	1662	gene		18	1.13	14	0.63	8	0.29	25	0.91	18	0.75	27	1.02	29	1.12	7	0.37	11	0.52	22	0.64	13	0.52	18	0.54	21	0.72	22	0.97	20	1.06
gene108	Contig_1.54	38367	38999	+	633	gene		383	63.07	542	63.88	614	59.31	521	49.63	538	58.52	431	42.70	553	56.20	247	34.32	259	31.92	927	70.49	520	54.18	693	54.66	491	44.31	502	57.87	418	58.37
gene109	Contig_1.54	39848	41706	+	1859	gene		62	3.48	111	4.45	174	5.72	166	5.38	132	4.89	185	6.24	172	5.95	74	3.50	76	3.19	228	5.90	141	5.00	259	6.96	214	6.58	139	5.46	109	5.18
gene110	Contig_1.54	45462	47043	-	1582	gene		1	0.07	3	0.14	0	0.00	3	0.11	2	0.09	3	0.12	7	0.28	4	0.22	6	0.30	6	0.18	3	0.13	1	0.03	1	0.04	1	0.05	1	0.06
gene111	Contig_1.54	56070	57452	-	1383	gene		119	8.97	155	8.36	153	6.76	246	10.72	194	9.66	239	10.84	244	11.35	98	6.23	87	4.91	216	7.52	133	6.34	183	6.61	165	6.82	129	6.81	143	9.14
